D0,D1,D2,D3,D4,D5,D6,D7
0.0957813,1.1660107,0.6055723,-0.39401987,1.731215,-0.7623388,-0.48402232,-0.72517437
0.43313706,0.33602238,1.4828105,-0.5561192,0.53377557,0.6930299,-0.6457892,0.25252438
0.25796503,1.761108,-0.01621496,-1.1044383,-1.0472859,0.48638624,2.6636422,-0.6824601
1.3419247,0.2765565,-1.8412855,-1.5973173,0.43976378,1.4247284,0.3284645,-0.83212763
0.02955629,-2.3585503,-0.4936828,0.064739734,0.48984492,-1.1189947,-0.109451644,-1.4198704
2.065757,0.51490957,-0.7172484,-0.46989298,-0.37214792,1.4498245,0.054978017,-0.7011848
-1.2193534,-0.37157905,1.8816013,0.769163,-0.08604034,-0.42270288,-0.83888006,-1.2465966
0.5320786,0.9209602,0.6303584,-0.43379578,-0.75092936,-0.79980874,-1.0720145,-0.79592955
2.3003988,0.92814994,0.55118465,0.99161196,0.014690731,-0.7915573,0.79240453,0.7408039
-0.23799685,-1.3348334,-1.0890453,-1.7070792,0.27186862,0.35308602,-1.8582348,0.63550013
1.0663366,-1.1404145,-0.08354628,0.9813297,-0.9700051,-2.50966,0.40549403,-1.3831055
-0.7480437,1.0512915,-0.53971183,0.33134058,-0.9585499,0.4715228,-1.1396515,0.0005786717
0.5188601,1.4107441,-0.6870137,0.9533199,-0.5968242,-2.361218,0.9054203,-0.87843823
